,user,text,scores,compound,user,text,scores,compound
0,BarackObama,".@SamanthaJPower is a Pulitzer winner, an incredible writer, and a great friend. Her memoir, The Education of an Id… https://t.co/rsVrBUOSIJ","{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.9022}",0.9022,KimKardashian,"RT @mariokardash: @kimkardashian x @makeupbymario , helping out customers today at an @ultabeauty store in New York. https://t.co/WeMlOR2oTV","{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.296}",0.296
1,BarackObama,"Michelle and I are heartbroken over the passing of our friend, Elijah Cummings. May his example inspire more Americ… https://t.co/Km5EWFuGaw","{'neg': 0.158, 'neu': 0.588, 'pos': 0.254, 'compound': 0.3818}",0.3818,KimKardashian,The @skims High Waisted Bonded Brief ($78) in Onyx is available now in sizes XXS - XL and comes packaged in our sig… https://t.co/PZOBiEREHC,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
2,BarackObama,"I was proud to work with Justin Trudeau as President. He's a hard-working, effective leader who takes on big issues… https://t.co/nZdSmWcpgP","{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.7351}",0.7351,KimKardashian,RT @TeamKanyeDaily: IF YOU MISSED IT: @kanyewest x @zanelowe interview from today! https://t.co/YtGPUpJ4j2?,"{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.4981}",-0.4981
3,BarackObama,"In December, Michelle and I will head to Malaysia for the first @ObamaFoundation Leaders: Asia-Pacific gathering. T… https://t.co/sDWtdRPHCQ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,KimKardashian,Glam or Goth this Halloween? Testing out costumes with @picsartstudio. #picsart #picsartpartner… https://t.co/ivfRj7OPFM,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
4,BarackObama,"Yesterday, marathoner Eliud Kipchoge became the first ever to break two hours. Today in Chicago, Brigid Kosgei set… https://t.co/xbTHZbEo1K","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,KimKardashian,RT @Maha_Sattva: @KimKardashian I just finished painting this and really want to give this to Kanye. Please ? ♥️ https://t.co/cO7lBZemkT,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.4391}",0.4391
5,BarackObama,"RT @MichelleObama: Happy #DayoftheGirl! I’m excited to share that in December, I’ll be visiting Vietnam to meet some of the inspiring girls…","{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.8858}",0.8858,KimKardashian,RT @KKWMAFIA: Shop @skims Contour Bonded Collection now only at https://t.co/DexaxI8UAI https://t.co/K6iTnyQStL,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
6,BarackObama,"Congrats to the @WashMystics on a gutsy, first-ever championship! A great team performance when it counted. If folk… https://t.co/6M93KCXeVW","{'neg': 0.0, 'neu': 0.567, 'pos': 0.433, 'compound': 0.8932}",0.8932,KimKardashian,Our strongest Solutionwear™ is now available at https://t.co/Qsy51S3rtD. I’m wearing the @skims High Waisted Bonded… https://t.co/DD3D6hDvbA,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}",0.4404
7,BarackObama,Here’s an interesting read—a reminder that behind every opinion lies a human being with real experiences and a stor… https://t.co/r7MX8F6tsX,"{'neg': 0.13, 'neu': 0.744, 'pos': 0.126, 'compound': -0.0258}",-0.0258,KimKardashian,Yesssss 🔥🔥🔥 https://t.co/CC6hmzc6Rk,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
8,BarackObama,"As President, I leaned on @AmbassadorRice’s experience, expertise, and willingness to tell me what I needed to hear… https://t.co/oWx2obfDF5","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.2732}",0.2732,KimKardashian,RT @BigBoy: EXCLUSIVE #Kanye interview dropping tomorrow (Friday) at 7:20am! 🙌🏽 Hear it first on @real923la. What would you ask @kanyewest?…,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.3664}",0.3664
9,BarackObama,"Like the Beatles said: It’s getting better all the time. Thanks, babe, for 27 amazing years! https://t.co/mImRqIYn1R","{'neg': 0.0, 'neu': 0.512, 'pos': 0.488, 'compound': 0.908}",0.908,KimKardashian,"RT @PhotosOfKanye: The crowd screaming Kanye’s, Kim’s, and Kourtney’s names at the #JesusIsKing listening party tonight! https://t.co/8Pdmi…","{'neg': 0.126, 'neu': 0.728, 'pos': 0.145, 'compound': 0.1007}",0.1007
